"회사명 : (주)에바스코스메틱"
"품목구분	","BOM버전	","생산품목명	","소모품목코드	","소모품목명	","품목구분	","소요량	","생산품목코드	","입고단가	","구매처명	","구매처코드	","적요	","규격명	",""
"[부재료]	","기본	","샤샤 밀크앤허니 바디워시- 소프트 머스크	","SXA-7066	","(대박스)샤샤 밀크 앤 허니 핸드크림- 3가지	","[제품]	","34.000000","AOBCM03	","936.000000","수영페이퍼 유한회사	","6888702454	","	","500ml, 30개입, 440*370*215	",""
"[부재료]	","기본	","샤샤 밀크앤허니 바디워시- 소프트 머스크	","SXC-0055	","(패드)샤샤 밀크 앤 허니 핸드크림- 3가지	","[제품]	","34.000000","AOBCM03	","104.000000","수영페이퍼 유한회사	","6888702454	","	","500ml, 30개입 (425*355*0)	",""
"[반제품]	","기본	","샤샤 아르간 오일 바디로션	","PAOBL0000	","샤샤 아르간 오일 바디로션	","[제품]	","1,000.000000","AOBL000	","","	","	","	","1500ML	",""
"[부재료]	","기본	","샤샤 아르간 오일 바디로션	","SXA-9400	","샤샤아르간샴푸린스박스	","[제품]	","84.000000","AOBL000	","730.000000","(주)유진포장	","1338120794	","	","400*300*300	",""
"[부재료]	","기본	","샤샤 아르간 오일 바디로션	","SXC-0042	","(패드)샤샤아르간샴푸린스	","[제품]	","84.000000","AOBL000	","85.000000","(주)유진포장	","1338120794	","	","	",""
"[반제품]	","기본	","샤샤 밀크앤허니 바디로션- 듀이 플로럴	","PAOBL0010	","샤샤 밀크앤허니 바디로션- 듀이 플로럴	","[제품]	","1,000.000000","AOBL001	","","	","	","	","1500ml	",""
"[부재료]	","기본	","샤샤 밀크앤허니 바디로션- 듀이 플로럴	","SXA-9400	","샤샤아르간샴푸린스박스	","[제품]	","84.000000","AOBL001	","730.000000","(주)유진포장	","1338120794	","	","400*300*300	",""
"[부재료]	","기본	","샤샤 밀크앤허니 바디로션- 듀이 플로럴	","SXC-0042	","(패드)샤샤아르간샴푸린스	","[제품]	","84.000000","AOBL001	","85.000000","(주)유진포장	","1338120794	","	","	",""
"[반제품]	","기본	","샤샤 밀크앤허니 바디로션- 쥬이시 그레이프프룻	","PAOBL0020	","샤샤 밀크앤허니 바디로션- 쥬이시 그레이프프룻	","[제품]	","1,000.000000","AOBL002	","","	","	","	","1500ml	",""
"[부재료]	","기본	","샤샤 밀크앤허니 바디로션- 쥬이시 그레이프프룻	","SXA-9400	","샤샤아르간샴푸린스박스	","[제품]	","84.000000","AOBL002	","730.000000","(주)유진포장	","1338120794	","	","400*300*300	",""
